symbol,exit_price,pnl,pct,reason,line
DUOT,2.86,-4.52,-5.00%,stop_loss,"2025-11-17 19:23:30,537 INFO core.backtester - [EXIT] DUOT | Price: $2.86 | P&L: $-4.52 (-5.00%) | Reason: stop_loss component=intraday_bt"
WLFC,72.68,-3.83,-5.00%,stop_loss,"2025-11-17 19:23:50,541 INFO core.backtester - [EXIT] WLFC | Price: $72.68 | P&L: $-3.83 (-5.00%) | Reason: stop_loss component=intraday_bt"
XRTX,3.13,-4.46,-5.00%,stop_loss,"2025-11-17 19:23:50,586 INFO core.backtester - [EXIT] XRTX | Price: $3.13 | P&L: $-4.46 (-5.00%) | Reason: stop_loss component=intraday_bt"
DRIO,2.29,-4.46,-5.00%,stop_loss,"2025-11-17 19:23:50,635 INFO core.backtester - [EXIT] DRIO | Price: $2.29 | P&L: $-4.46 (-5.00%) | Reason: stop_loss component=intraday_bt"
STIM,3.32,-4.38,-5.00%,stop_loss,"2025-11-17 19:23:50,686 INFO core.backtester - [EXIT] STIM | Price: $3.32 | P&L: $-4.38 (-5.00%) | Reason: stop_loss component=intraday_bt"
NVNI,2.23,-4.35,-5.00%,stop_loss,"2025-11-17 19:23:50,730 INFO core.backtester - [EXIT] NVNI | Price: $2.23 | P&L: $-4.35 (-5.00%) | Reason: stop_loss component=intraday_bt"
ABSI,4.75,-4.25,-5.00%,stop_loss,"2025-11-17 19:23:50,774 INFO core.backtester - [EXIT] ABSI | Price: $4.75 | P&L: $-4.25 (-5.00%) | Reason: stop_loss component=intraday_bt"
UK,3.85,-4.25,-5.00%,stop_loss,"2025-11-17 19:23:50,820 INFO core.backtester - [EXIT] UK | Price: $3.85 | P&L: $-4.25 (-5.00%) | Reason: stop_loss component=intraday_bt"
OSS,2.33,-4.29,-5.00%,stop_loss,"2025-11-17 19:23:50,865 INFO core.backtester - [EXIT] OSS | Price: $2.33 | P&L: $-4.29 (-5.00%) | Reason: stop_loss component=intraday_bt"
BCTXW,2.35,-8.52,-5.00%,stop_loss,"2025-11-17 19:23:50,915 INFO core.backtester - [EXIT] BCTXW | Price: $2.35 | P&L: $-8.52 (-5.00%) | Reason: stop_loss component=intraday_bt"
PIII,1.47,-4.19,-5.00%,stop_loss,"2025-11-17 19:23:50,957 INFO core.backtester - [EXIT] PIII | Price: $1.47 | P&L: $-4.19 (-5.00%) | Reason: stop_loss component=intraday_bt"
RVPHW,1.28,-4.19,-5.00%,stop_loss,"2025-11-17 19:23:51,000 INFO core.backtester - [EXIT] RVPHW | Price: $1.28 | P&L: $-4.19 (-5.00%) | Reason: stop_loss component=intraday_bt"
CLSD,1.43,-4.15,-5.00%,stop_loss,"2025-11-17 19:23:51,043 INFO core.backtester - [EXIT] CLSD | Price: $1.43 | P&L: $-4.15 (-5.00%) | Reason: stop_loss component=intraday_bt"
BLZE,6.96,-4.03,-5.00%,stop_loss,"2025-11-17 19:23:51,087 INFO core.backtester - [EXIT] BLZE | Price: $6.96 | P&L: $-4.03 (-5.00%) | Reason: stop_loss component=intraday_bt"
ERAS,2.12,-4.13,-5.00%,stop_loss,"2025-11-17 19:23:51,138 INFO core.backtester - [EXIT] ERAS | Price: $2.12 | P&L: $-4.13 (-5.00%) | Reason: stop_loss component=intraday_bt"
NEXN,4.94,-3.9,-5.00%,stop_loss,"2025-11-17 19:24:12,501 INFO core.backtester - [EXIT] NEXN | Price: $4.94 | P&L: $-3.90 (-5.00%) | Reason: stop_loss component=intraday_bt"
GAME,1.83,-4.05,-5.00%,stop_loss,"2025-11-17 19:24:12,549 INFO core.backtester - [EXIT] GAME | Price: $1.83 | P&L: $-4.05 (-5.00%) | Reason: stop_loss component=intraday_bt"
GANX,4.03,-4.03,-5.00%,stop_loss,"2025-11-17 19:24:12,592 INFO core.backtester - [EXIT] GANX | Price: $4.03 | P&L: $-4.03 (-5.00%) | Reason: stop_loss component=intraday_bt"
EKSO,2.42,-3.95,-5.00%,stop_loss,"2025-11-17 19:24:12,636 INFO core.backtester - [EXIT] EKSO | Price: $2.42 | P&L: $-3.95 (-5.00%) | Reason: stop_loss component=intraday_bt"
PLX,1.95,-4.0,-5.00%,stop_loss,"2025-11-17 19:24:12,680 INFO core.backtester - [EXIT] PLX | Price: $1.95 | P&L: $-4.00 (-5.00%) | Reason: stop_loss component=intraday_bt"
TLS,4.72,-3.98,-5.00%,stop_loss,"2025-11-17 19:24:12,773 INFO core.backtester - [EXIT] TLS | Price: $4.72 | P&L: $-3.98 (-5.00%) | Reason: stop_loss component=intraday_bt"
TURB,1.13,-7.97,-5.00%,stop_loss,"2025-11-17 19:24:12,824 INFO core.backtester - [EXIT] TURB | Price: $1.13 | P&L: $-7.97 (-5.00%) | Reason: stop_loss component=intraday_bt"
CDT,4.49,-3.78,-5.00%,stop_loss,"2025-11-17 19:24:12,936 INFO core.backtester - [EXIT] CDT | Price: $4.49 | P&L: $-3.78 (-5.00%) | Reason: stop_loss component=intraday_bt"
CERS,2.15,-3.84,-5.00%,stop_loss,"2025-11-17 19:24:12,984 INFO core.backtester - [EXIT] CERS | Price: $2.15 | P&L: $-3.84 (-5.00%) | Reason: stop_loss component=intraday_bt"
BJDX,1.15,-3.87,-5.00%,stop_loss,"2025-11-17 19:24:13,029 INFO core.backtester - [EXIT] BJDX | Price: $1.15 | P&L: $-3.87 (-5.00%) | Reason: stop_loss component=intraday_bt"
MOGO,2.04,-3.87,-5.00%,stop_loss,"2025-11-17 19:24:13,073 INFO core.backtester - [EXIT] MOGO | Price: $2.04 | P&L: $-3.87 (-5.00%) | Reason: stop_loss component=intraday_bt"
BTCS,2.18,-3.8,-5.00%,stop_loss,"2025-11-17 19:24:13,121 INFO core.backtester - [EXIT] BTCS | Price: $2.18 | P&L: $-3.80 (-5.00%) | Reason: stop_loss component=intraday_bt"
EDSA,6.13,-3.55,-5.00%,stop_loss,"2025-11-17 19:24:32,587 INFO core.backtester - [EXIT] EDSA | Price: $6.13 | P&L: $-3.55 (-5.00%) | Reason: stop_loss component=intraday_bt"
CMPX,2.01,-3.82,-5.00%,stop_loss,"2025-11-17 19:24:32,679 INFO core.backtester - [EXIT] CMPX | Price: $2.01 | P&L: $-3.82 (-5.00%) | Reason: stop_loss component=intraday_bt"
JVA,1.13,-3.81,-5.00%,stop_loss,"2025-11-17 19:24:32,724 INFO core.backtester - [EXIT] JVA | Price: $1.13 | P&L: $-3.81 (-5.00%) | Reason: stop_loss component=intraday_bt"
